fold,bias,score,clean_Macro_F1,missing_Macro_F1,clean_MAE,missing_MAE,clean_Accuracy
2,-0.8,0.4688618877218561,0.5325368645913554,0.5230032481993875,0.5824299454689026,0.5957334280014038,0.6072041166380789
2,-0.7,0.4818209323382072,0.5447632567623164,0.5365298618527728,0.5815619826316833,0.5949505567550659,0.6123499142367067
2,-0.6,0.4918301491751001,0.5564449506978243,0.5448097125338914,0.5814611911773682,0.5944824576377868,0.6123499142367067
2,-0.5,0.5050494283581406,0.5726229386612864,0.5548433454040852,0.579940676689148,0.5937335968017579,0.6157804459691252
2,-0.4,0.5198237413356105,0.5906391291416169,0.5660704918486197,0.5777028799057007,0.5929185032844544,0.6260720411663808
2,-0.3,0.5296769317232862,0.5961301006749683,0.5801558091850259,0.5780185461044312,0.5913019180297852,0.6243567753001715
2,-0.2,0.5350629073497452,0.6001260100000746,0.586778890097136,0.577457845211029,0.5903330087661743,0.6226415094339622
2,-0.1,0.5432643642218784,0.6117309839525894,0.5912292513633444,0.5752381086349487,0.5890769600868225,0.6295025728987993
2,-0.0,0.5370674370544333,0.6014403009036283,0.5894328377659377,0.5781210660934448,0.5892615795135498,0.6174957118353345
2,0.1,0.5401445313350313,0.6059296948751179,0.5908646246861952,0.5762590765953064,0.5887934923171997,0.6174957118353345
2,0.2,0.5386651236929431,0.6063891356274651,0.5873021111042004,0.5748766660690308,0.5887333273887634,0.6157804459691252
2,0.3,0.5358266555368405,0.6011089791537936,0.5867885574219016,0.5742320418357849,0.5882102131843567,0.6054888507718696
2,0.4,0.5305343185070039,0.5961767818238406,0.5811811692217683,0.5751384496688843,0.5877546906471253,0.5986277873070326
2,0.5,0.5230961988432289,0.5916613137918308,0.5711366756686136,0.5766738653182983,0.5893820524215698,0.5917667238421955
2,0.6,0.5104073972279042,0.576482675681058,0.5616545386565708,0.5818608403205872,0.5913633584976197,0.5746140651801029
2,0.7,0.5024083248220104,0.5711562913733664,0.5505851889457795,0.5781886577606201,0.5910596489906311,0.5660377358490566
2,0.8,0.4965101073025807,0.5648932433437837,0.5447733230756477,0.5766280293464661,0.5898354887962342,0.5574614065180102
2,0.9,0.48682359475803827,0.5577903520651221,0.5326837281579706,0.5758639574050903,0.5924049496650696,0.5506003430531733
2,1.0,0.48167634018283334,0.5582939611992331,0.5215643491827605,0.5722112059593201,0.5928450942039489,0.5506003430531733
3,-1.0,0.4391999701652236,0.5062120403904283,0.49400631248236193,0.5990127921104431,0.6191713333129882,0.6164383561643836
3,-0.9,0.45595895684654536,0.5245006974459291,0.5091196643768157,0.5982131958007812,0.618811285495758,0.6215753424657534
3,-0.8,0.48628078655351803,0.558228829082711,0.5358176316242702,0.5973004102706909,0.6175484657287598,0.6335616438356164
3,-0.7,0.495421488376951,0.5644993253620169,0.5477160852927182,0.5968644618988037,0.6168598771095276,0.6335616438356164
3,-0.6,0.5044387097204357,0.5752292062659762,0.5549221802025595,0.5963637828826904,0.6163758873939514,0.6352739726027398
3,-0.5,0.5133089421895768,0.5836478409735177,0.564069679960354,0.5952464938163757,0.6157498717308044,0.6352739726027398
3,-0.4,0.5354389600925048,0.6143359648230775,0.5773609160285886,0.5930060744285583,0.6151835322380066,0.6523972602739726
3,-0.3,0.5418680247509629,0.6127145272840143,0.5918914436637581,0.5946535468101501,0.6140456676483155,0.6455479452054794
3,-0.2,0.5457411580417268,0.6131573396732998,0.5991197983877693,0.5945087671279907,0.6134394526481628,0.6404109589041096
3,-0.1,0.5570198264373067,0.6302893174430184,0.6041862647299959,0.5917184948921204,0.6126407980918884,0.6506849315068494
3,-0.0,0.5548379882514801,0.6266608391608393,0.6037192637001533,0.5938830971717834,0.6131581664085388,0.6438356164383562
3,0.1,0.5599784844382354,0.6362671148552961,0.6041538988305162,0.5915208458900452,0.6131196022033691,0.648972602739726
3,0.2,0.5600465914986255,0.6380338313920274,0.6025064138591755,0.5906621813774109,0.6138084411621094,0.6472602739726028
3,0.3,0.5544528158170134,0.6281388159557107,0.6014195163409293,0.5924452543258667,0.6140817523002624,0.6335616438356164
3,0.4,0.5503760459127589,0.6234887226519026,0.5979139157243659,0.5929206013679504,0.6135848641395569,0.6267123287671232
3,0.5,0.5436681912097937,0.6159252476643317,0.592465327536704,0.596756100654602,0.6137858271598816,0.6164383561643836
3,0.6,0.5277558174716781,0.5992971578397343,0.5785606267866206,0.6042380332946777,0.6192234635353089,0.5976027397260274
3,0.7,0.5229979787633361,0.5966908274305872,0.5714007101970984,0.601754367351532,0.6192014336585998,0.5924657534246576
3,0.8,0.5153847476350694,0.5898596767437816,0.563302602883428,0.6033675074577332,0.6205603361129761,0.583904109589041
3,0.9,0.5052893761086656,0.5826973094732658,0.5508157949035655,0.6036429405212402,0.625700581073761,0.5753424657534246
3,1.0,0.49824269255252296,0.5784453737192427,0.5410603790081787,0.6031057238578796,0.6270979523658753,0.5702054794520548
4,-1.0,0.4572284482271501,0.515992431689657,0.5142749031591897,0.5720069408416748,0.5860974431037903,0.6209262435677531
4,-0.9,0.4839338651992722,0.5485174265662071,0.5350307576096507,0.5710143446922302,0.5857901930809021,0.6329331046312179
4,-0.8,0.5157326185720009,0.5844333653273167,0.5624768860550428,0.5698590874671936,0.5845910549163819,0.6466552315608919
4,-0.7,0.5292998104270218,0.5958171802573026,0.5780367271243746,0.5690728425979614,0.5834700226783752,0.6500857632933105
4,-0.6,0.5369176177742747,0.6038260222030747,0.5852170976571507,0.569250226020813,0.5828286170959472,0.6483704974271012
4,-0.5,0.5484941745170495,0.6161863660509245,0.5957415581784871,0.567518413066864,0.581877338886261,0.6518010291595198
4,-0.4,0.562733414809778,0.633806160746594,0.6063391387692785,0.5657845139503479,0.5810001850128174,0.6620926243567753
4,-0.3,0.5728411700853371,0.6413305849702157,0.6188337658034094,0.5652231574058533,0.5795969486236572,0.6638078902229846
4,-0.2,0.5739391566775932,0.6375047741224765,0.6248478489155559,0.5659719109535217,0.5787711858749389,0.6569468267581475
4,-0.1,0.5832954354870815,0.6504649383220554,0.6301260158601918,0.5630504488945007,0.5769503831863403,0.6655231560891939
4,-0.0,0.576750186963934,0.6435215104360342,0.6243848424099092,0.5655432939529419,0.5785164952278137,0.6569468267581475
4,0.1,0.5752414666296635,0.6405854231525443,0.6243334868504807,0.565872311592102,0.5784874558448792,0.6518010291595198
