模型,subset,rate,position,replicate,Accuracy,Macro_F1,Weighted_F1,MAE,Pearson,T_实际不可用比例,A_实际不可用比例,V_实际不可用比例
baseline,V,0.5,random,1,0.614010989010989,0.5999328155322483,0.621419735259641,0.5845720171928406,0.6444249419135276,0.0,0.002678779408339157,0.5285930584672723
baseline,V,0.7,random,0,0.6016483516483516,0.5860372176362114,0.6083954742804231,0.5956069827079773,0.6283500991208759,0.0,0.002678779408339157,0.7180293501048218
baseline,V,0.7,random,1,0.6057692307692307,0.5913221707461548,0.6127292630324317,0.5934374332427979,0.6297581046162746,0.0,0.002678779408339157,0.7168646634055439
baseline,TA,0.1,random,0,0.5934065934065934,0.5794966414087553,0.6000654430570229,0.5919669270515442,0.6174666696512696,0.10214302352667133,0.104530631260191,0.057069648264616815
baseline,TA,0.1,random,1,0.6126373626373627,0.5985717658783768,0.6182529231896363,0.5955910086631775,0.607600231330032,0.10214302352667133,0.104530631260191,0.057069648264616815
baseline,TA,0.3,random,0,0.5618131868131868,0.5433475338508331,0.565797283014443,0.6393094062805176,0.5510885106488781,0.29984859072909387,0.3017120894479385,0.057069648264616815
baseline,TA,0.3,random,1,0.5782967032967034,0.5628028263037431,0.584104429991884,0.633806049823761,0.5423930858862549,0.29984859072909387,0.3017120894479385,0.057069648264616815
baseline,TA,0.5,random,0,0.5467032967032966,0.5360439430790435,0.5528646562773475,0.6697966456413269,0.48310416927483973,0.4997670626601444,0.5010482180293501,0.057069648264616815
baseline,TA,0.5,random,1,0.5274725274725275,0.5138410244729853,0.5354388441765912,0.6805203557014465,0.46702514505367393,0.4997670626601444,0.5010482180293501,0.057069648264616815
baseline,TA,0.7,random,0,0.4697802197802198,0.45791813815044585,0.47607051904672837,0.735401451587677,0.3994318187027416,0.6995690659212672,0.7002678779408339,0.057069648264616815
baseline,TA,0.7,random,1,0.4684065934065934,0.45835714606947103,0.47298647035671054,0.7449928522109985,0.3532237423242897,0.6995690659212672,0.7002678779408339,0.057069648264616815
baseline,TV,0.1,random,0,0.5947802197802198,0.580628171644633,0.6016194148503358,0.5908254981040955,0.6170428659283218,0.10214302352667133,0.002678779408339157,0.15356394129979037
baseline,TV,0.1,random,1,0.6112637362637363,0.5960876330935722,0.6164948129533304,0.5914233922958374,0.6088733560877023,0.10214302352667133,0.002678779408339157,0.15362217563475425
baseline,TV,0.3,random,0,0.5535714285714286,0.5351347531740521,0.5590935586697883,0.6388475894927979,0.5474762583135555,0.29984859072909387,0.002678779408339157,0.33979734451432564
baseline,TV,0.3,random,1,0.5741758241758241,0.5562051433218559,0.5801797809103711,0.6264235377311707,0.5435962470528529,0.29984859072909387,0.002678779408339157,0.34014675052410903
baseline,TV,0.5,random,0,0.5206043956043956,0.4929299499589767,0.5207100607336399,0.6668508648872375,0.48141339483032564,0.4997670626601444,0.002678779408339157,0.529874213836478
baseline,TV,0.5,random,1,0.4958791208791209,0.46278482703822066,0.4929788421347767,0.6811828017234802,0.4325055387297692,0.4997670626601444,0.002678779408339157,0.5285930584672723
baseline,TV,0.7,random,0,0.4409340659340659,0.39246141316698996,0.42344660159804404,0.7308322787284851,0.3331452277026317,0.6995690659212672,0.002678779408339157,0.7180293501048218
baseline,TV,0.7,random,1,0.44642857142857145,0.3964810329846064,0.4285978476467756,0.7366634607315063,0.2835334652556651,0.6995690659212672,0.002678779408339157,0.7168646634055439
baseline,AV,0.1,random,0,0.6126373626373627,0.5986961420623704,0.6173229825564931,0.5875198245048523,0.6358084937376237,0.0,0.104530631260191,0.15356394129979037
baseline,AV,0.1,random,1,0.6112637362637363,0.5972013993003499,0.6165561253909937,0.593058168888092,0.6334968419561411,0.0,0.104530631260191,0.15362217563475425
baseline,AV,0.3,random,0,0.6126373626373627,0.601687699883147,0.6196366590364555,0.5886592864990234,0.6339958264783154,0.0,0.3017120894479385,0.33979734451432564
baseline,AV,0.3,random,1,0.6181318681318682,0.6051705142721785,0.6231739166668127,0.5938645005226135,0.6296557440740793,0.0,0.3017120894479385,0.34014675052410903
baseline,AV,0.5,random,0,0.6071428571428571,0.594369436348857,0.6141485667923544,0.5978990197181702,0.6294221122035598,0.0,0.5010482180293501,0.529874213836478
baseline,AV,0.5,random,1,0.6222527472527473,0.6097849543972401,0.6287427545660903,0.5858034491539001,0.6446705619931958,0.0,0.5010482180293501,0.5285930584672723
baseline,AV,0.7,random,0,0.6112637362637363,0.6008558795201822,0.6193341069227594,0.5968035459518433,0.6286628950767061,0.0,0.7002678779408339,0.7180293501048218
baseline,AV,0.7,random,1,0.6263736263736264,0.616299310293757,0.6333926844525165,0.5919523239135742,0.6338841069935073,0.0,0.7002678779408339,0.7168646634055439
baseline,TAV,0.1,random,0,0.5961538461538461,0.582731411814639,0.6020902844117336,0.5902631282806396,0.6205437571424793,0.10214302352667133,0.104530631260191,0.15356394129979037
baseline,TAV,0.1,random,1,0.6098901098901099,0.5958396178984414,0.6146035337211808,0.5920091271400452,0.6103837712552386,0.10214302352667133,0.104530631260191,0.15362217563475425
baseline,TAV,0.3,random,0,0.5673076923076923,0.5532577083256851,0.5734305254429094,0.6302558779716492,0.5637796773282004,0.29984859072909387,0.3017120894479385,0.33979734451432564
baseline,TAV,0.3,random,1,0.5769230769230769,0.5634622392565399,0.5840378438338291,0.6260901093482971,0.5415903083517888,0.29984859072909387,0.3017120894479385,0.34014675052410903
baseline,TAV,0.5,random,0,0.5412087912087912,0.5380392462377738,0.5517575642056035,0.6573115587234497,0.5223902261081536,0.4997670626601444,0.5010482180293501,0.529874213836478
baseline,TAV,0.5,random,1,0.5260989010989011,0.5239890276665036,0.5394602245495,0.6639233827590942,0.5017110917070854,0.4997670626601444,0.5010482180293501,0.5285930584672723
baseline,TAV,0.7,random,0,0.45604395604395603,0.4609744368470034,0.46058875336915356,0.7242347598075867,0.45001571723851225,0.6995690659212672,0.7002678779408339,0.7180293501048218
baseline,TAV,0.7,random,1,0.4478021978021978,0.45100879484199585,0.44625340287337595,0.7341030836105347,0.36566300762481213,0.6995690659212672,0.7002678779408339,0.7168646634055439
baseline,T,0.3,start,0,0.5810439560439561,0.5662822269150937,0.5870336343549581,0.6192335486412048,0.5663855378358241,0.29984859072909387,0.002678779408339157,0.057069648264616815
baseline,T,0.3,middle,0,0.5796703296703297,0.5665445665445664,0.5878718351245823,0.6189994215965271,0.564893426476169,0.29984859072909387,0.002678779408339157,0.057069648264616815
baseline,T,0.3,end,0,0.5439560439560439,0.5280874803784311,0.5509293700444903,0.6321316957473755,0.5722160456100079,0.29984859072909387,0.002678779408339157,0.057069648264616815
baseline,A,0.3,start,0,0.6208791208791209,0.6083360477322969,0.6260265246443075,0.5840974450111389,0.6418059777820371,0.0,0.3017120894479385,0.057069648264616815
baseline,A,0.3,middle,0,0.6071428571428571,0.5952166371681636,0.6119876633276594,0.5933140516281128,0.6332479289139668,0.0,0.3017120894479385,0.057069648264616815
baseline,A,0.3,end,0,0.6153846153846154,0.6016645774142838,0.621106788143414,0.5870425701141357,0.6341332074374739,0.0,0.3018285581178663,0.057069648264616815
baseline,V,0.3,start,0,0.6071428571428571,0.5921314211084614,0.612789556269342,0.5868507623672485,0.6384065628768044,0.0,0.002678779408339157,0.3413114372233869
baseline,V,0.3,middle,0,0.6071428571428571,0.593021199282063,0.613118156580199,0.5891600251197815,0.6365667041216372,0.0,0.002678779408339157,0.34067085953878407
baseline,V,0.3,end,0,0.6043956043956044,0.5919417165936198,0.6112777139943629,0.5929954648017883,0.631614529814862,0.0,0.002678779408339157,0.33758443978569763
baseline,AV,0.3,start,0,0.6153846153846154,0.6030754799666393,0.6216651495207327,0.5857931971549988,0.6405786972425123,0.0,0.3017120894479385,0.3413114372233869
baseline,AV,0.3,middle,0,0.6112637362637363,0.596557051556471,0.616367991527671,0.593421459197998,0.6340275849540116,0.0,0.3017120894479385,0.34067085953878407
baseline,AV,0.3,end,0,0.6085164835164835,0.5973724448682328,0.617156114983414,0.5915629863739014,0.6284409201119742,0.0,0.3018285581178663,0.33758443978569763
distilled,none,0.0,random,0,0.635989010989011,0.620798489893552,0.6386241135295299,0.5823522806167603,0.6420019435016523,0.0,0.002678779408339157,0.057069648264616815
distilled,T,0.1,random,0,0.6208791208791209,0.6055632437378816,0.6246264699398666,0.5863338112831116,0.6306528371217509,0.10214302352667133,0.002678779408339157,0.057069648264616815
distilled,T,0.1,random,1,0.6373626373626373,0.6220426374937347,0.640027711927017,0.5863462090492249,0.6252078263155321,0.10214302352667133,0.002678779408339157,0.057069648264616815
distilled,T,0.3,random,0,0.592032967032967,0.5734953703703703,0.5954431852869353,0.6198017597198486,0.5803113991614243,0.29984859072909387,0.002678779408339157,0.057069648264616815
